Frame,Wrist_x,Thumb_CMC_x,Thumb_MCP_x,Thumb_IP_x,Thumb_Tip_x,Index_MCP_x,Index_PIP_x,Index_DIP_x,Index_Tip_x,Middle_MCP_x,Middle_PIP_x,Middle_DIP_x,Middle_Tip_x,Ring_MCP_x,Ring_PIP_x,Ring_DIP_x,Ring_Tip_x,Pinky_MCP_x,Pinky_PIP_x,Pinky_DIP_x,Pinky_Tip_x,Wrist_y,Thumb_CMC_y,Thumb_MCP_y,Thumb_IP_y,Thumb_Tip_y,Index_MCP_y,Index_PIP_y,Index_DIP_y,Index_Tip_y,Middle_MCP_y,Middle_PIP_y,Middle_DIP_y,Middle_Tip_y,Ring_MCP_y,Ring_PIP_y,Ring_DIP_y,Ring_Tip_y,Pinky_MCP_y,Pinky_PIP_y,Pinky_DIP_y,Pinky_Tip_y
0,467.8125,952.5,608.4375,891.5625,735.0,732.1875,805.3125,619.6875,866.25,521.25,589.6875,596.25,622.5,436.875,622.5,343.125,645.9375,258.75,519.375,582.1875,538.125,413.4375,566.25,315.0,594.375,221.25,486.5625,582.1875,505.3125,446.25,528.75,352.5,552.1875,254.0625,416.25,615.0,397.5,507.1875,420.9375,436.875,453.75,375.9375
1,472.5,947.8125,603.75,886.875,739.6875,732.1875,805.3125,619.6875,866.25,525.9375,594.375,596.25,622.5,436.875,631.875,343.125,645.9375,258.75,524.0625,582.1875,542.8125,408.75,570.9375,315.0,594.375,221.25,486.5625,582.1875,505.3125,441.5625,528.75,352.5,552.1875,254.0625,416.25,615.0,397.5,507.1875,420.9375,436.875,453.75,375.9375
2,472.5,947.8125,608.4375,891.5625,739.6875,732.1875,805.3125,619.6875,866.25,525.9375,594.375,596.25,622.5,436.875,631.875,343.125,655.3125,258.75,524.0625,582.1875,542.8125,408.75,570.9375,315.0,594.375,221.25,486.5625,582.1875,505.3125,441.5625,528.75,352.5,556.875,249.375,416.25,615.0,397.5,507.1875,420.9375,436.875,453.75,375.9375
3,472.5,957.1875,608.4375,896.25,753.75,732.1875,810.0,615.0,866.25,525.9375,613.125,591.5625,631.875,432.1875,641.25,338.4375,664.6875,258.75,538.125,572.8125,542.8125,404.0625,570.9375,310.3125,603.75,216.5625,500.625,577.5,505.3125,436.875,528.75,352.5,552.1875,249.375,420.9375,610.3125,406.875,502.5,425.625,427.5,453.75,375.9375
4,472.5,933.75,613.125,877.5,767.8125,732.1875,824.0625,619.6875,880.3125,530.625,1185.0,596.25,631.875,436.875,645.9375,343.125,674.0625,263.4375,1278.75,577.5,1302.1875,413.4375,580.3125,315.0,603.75,221.25,500.625,577.5,510.0,436.875,533.4375,352.5,556.875,254.0625,420.9375,605.625,402.1875,502.5,420.9375,427.5,449.0625,366.5625
5,472.5,924.375,617.8125,868.125,767.8125,727.5,824.0625,619.6875,875.625,530.625,1199.0625,596.25,631.875,432.1875,645.9375,343.125,664.6875,258.75,1278.75,572.8125,552.1875,408.75,580.3125,315.0,603.75,221.25,491.25,572.8125,505.3125,436.875,528.75,352.5,552.1875,254.0625,416.25,600.9375,397.5,502.5,416.25,427.5,444.375,366.5625
6,472.5,924.375,613.125,863.4375,767.8125,722.8125,824.0625,619.6875,875.625,525.9375,1199.0625,591.5625,631.875,432.1875,645.9375,343.125,674.0625,258.75,1278.75,568.125,552.1875,408.75,580.3125,310.3125,608.4375,216.5625,486.5625,572.8125,505.3125,432.1875,528.75,352.5,552.1875,254.0625,416.25,600.9375,397.5,502.5,416.25,427.5,444.375,375.9375
7,472.5,919.6875,617.8125,863.4375,767.8125,722.8125,819.375,615.0,875.625,521.25,613.125,591.5625,641.25,427.5,645.9375,338.4375,664.6875,254.0625,528.75,568.125,552.1875,404.0625,580.3125,310.3125,608.4375,216.5625,486.5625,568.125,505.3125,427.5,528.75,347.8125,552.1875,244.6875,411.5625,600.9375,397.5,493.125,411.5625,427.5,444.375,366.5625
8,472.5,929.0625,608.4375,868.125,767.8125,718.125,814.6875,610.3125,870.9375,516.5625,603.75,586.875,627.1875,422.8125,631.875,333.75,655.3125,254.0625,528.75,568.125,547.5,399.375,575.625,305.625,599.0625,211.875,486.5625,568.125,505.3125,427.5,528.75,347.8125,552.1875,244.6875,416.25,600.9375,397.5,497.8125,420.9375,427.5,449.0625,366.5625
9,472.5,938.4375,608.4375,872.8125,753.75,722.8125,805.3125,610.3125,866.25,521.25,603.75,586.875,627.1875,422.8125,631.875,329.0625,655.3125,249.375,528.75,568.125,547.5,399.375,570.9375,300.9375,599.0625,207.1875,486.5625,568.125,505.3125,422.8125,524.0625,343.125,547.5,244.6875,411.5625,600.9375,397.5,497.8125,416.25,427.5,444.375,366.5625
10,481.875,929.0625,608.4375,863.4375,758.4375,718.125,819.375,610.3125,875.625,516.5625,603.75,586.875,613.125,427.5,617.8125,333.75,631.875,249.375,533.4375,568.125,542.8125,399.375,570.9375,300.9375,594.375,207.1875,491.25,572.8125,500.625,427.5,524.0625,343.125,547.5,244.6875,411.5625,600.9375,397.5,502.5,416.25,427.5,444.375,366.5625
11,1344.375,924.375,608.4375,863.4375,758.4375,718.125,810.0,605.625,870.9375,521.25,613.125,577.5,627.1875,418.125,641.25,329.0625,664.6875,254.0625,533.4375,558.75,542.8125,394.6875,570.9375,300.9375,599.0625,207.1875,495.9375,563.4375,505.3125,418.125,524.0625,343.125,547.5,244.6875,416.25,600.9375,402.1875,493.125,420.9375,427.5,453.75,366.5625
12,481.875,910.3125,617.8125,854.0625,753.75,713.4375,810.0,605.625,866.25,516.5625,1175.625,572.8125,641.25,418.125,655.3125,333.75,688.125,254.0625,1264.6875,558.75,542.8125,394.6875,575.625,305.625,603.75,211.875,495.9375,558.75,505.3125,422.8125,528.75,347.8125,552.1875,244.6875,416.25,591.5625,406.875,493.125,425.625,427.5,453.75,366.5625
13,481.875,910.3125,622.5,854.0625,758.4375,713.4375,810.0,610.3125,866.25,521.25,1180.3125,572.8125,650.625,418.125,664.6875,333.75,702.1875,254.0625,1269.375,554.0625,542.8125,394.6875,575.625,305.625,603.75,211.875,1320.9375,558.75,505.3125,422.8125,528.75,347.8125,552.1875,244.6875,416.25,591.5625,406.875,493.125,425.625,427.5,453.75,366.5625
