Frame,Wrist_x,Thumb_CMC_x,Thumb_MCP_x,Thumb_IP_x,Thumb_Tip_x,Index_MCP_x,Index_PIP_x,Index_DIP_x,Index_Tip_x,Middle_MCP_x,Middle_PIP_x,Middle_DIP_x,Middle_Tip_x,Ring_MCP_x,Ring_PIP_x,Ring_DIP_x,Ring_Tip_x,Pinky_MCP_x,Pinky_PIP_x,Pinky_DIP_x,Pinky_Tip_x,Wrist_y,Thumb_CMC_y,Thumb_MCP_y,Thumb_IP_y,Thumb_Tip_y,Index_MCP_y,Index_PIP_y,Index_DIP_y,Index_Tip_y,Middle_MCP_y,Middle_PIP_y,Middle_DIP_y,Middle_Tip_y,Ring_MCP_y,Ring_PIP_y,Ring_DIP_y,Ring_Tip_y,Pinky_MCP_y,Pinky_PIP_y,Pinky_DIP_y,Pinky_Tip_y
14,472.5,830.625,599.0625,750.9375,800.625,643.125,824.0625,544.6875,856.875,432.1875,641.25,507.1875,603.75,343.125,594.375,249.375,589.6875,165.0,514.6875,488.4375,505.3125,324.375,510.0,230.625,524.0625,132.1875,439.6875,502.5,430.3125,366.5625,435.0,286.875,435.0,193.125,374.0625,544.6875,350.625,427.5,341.25,371.25,336.5625,310.3125
15,472.5,830.625,617.8125,750.9375,800.625,643.125,828.75,544.6875,866.25,436.875,655.3125,507.1875,608.4375,343.125,608.4375,249.375,603.75,160.3125,524.0625,488.4375,519.375,329.0625,519.375,230.625,538.125,127.5,444.375,502.5,430.3125,366.5625,439.6875,286.875,439.6875,193.125,374.0625,535.3125,350.625,427.5,341.25,366.5625,336.5625,305.625
16,477.1875,830.625,617.8125,750.9375,791.25,647.8125,824.0625,549.375,866.25,441.5625,660.0,511.875,617.8125,347.8125,617.8125,249.375,613.125,155.625,528.75,488.4375,519.375,329.0625,528.75,230.625,538.125,127.5,444.375,502.5,435.0,366.5625,439.6875,286.875,439.6875,193.125,374.0625,540.0,350.625,427.5,341.25,371.25,336.5625,305.625
17,472.5,835.3125,697.5,760.3125,800.625,652.5,824.0625,554.0625,866.25,446.25,669.375,516.5625,617.8125,352.5,617.8125,249.375,617.8125,160.3125,528.75,493.125,524.0625,329.0625,528.75,225.9375,542.8125,122.8125,444.375,507.1875,435.0,366.5625,439.6875,282.1875,444.375,188.4375,374.0625,544.6875,350.625,427.5,336.5625,371.25,336.5625,310.3125
18,467.8125,835.3125,697.5,765.0,800.625,652.5,824.0625,554.0625,866.25,441.5625,669.375,521.25,608.4375,352.5,608.4375,254.0625,613.125,160.3125,524.0625,493.125,519.375,329.0625,528.75,225.9375,538.125,122.8125,439.6875,511.875,430.3125,366.5625,439.6875,282.1875,439.6875,183.75,369.375,544.6875,345.9375,427.5,336.5625,366.5625,336.5625,305.625
19,463.125,830.625,622.5,760.3125,791.25,657.1875,824.0625,554.0625,866.25,441.5625,660.0,521.25,617.8125,357.1875,617.8125,254.0625,613.125,160.3125,519.375,493.125,519.375,329.0625,528.75,225.9375,538.125,122.8125,439.6875,507.1875,430.3125,366.5625,439.6875,282.1875,444.375,183.75,369.375,540.0,345.9375,427.5,341.25,366.5625,341.25,305.625
20,458.4375,825.9375,617.8125,755.625,777.1875,652.5,819.375,549.375,856.875,441.5625,650.625,511.875,631.875,352.5,627.1875,249.375,631.875,155.625,524.0625,483.75,524.0625,324.375,528.75,221.25,538.125,122.8125,435.0,497.8125,430.3125,361.875,435.0,277.5,444.375,183.75,364.6875,530.625,345.9375,418.125,336.5625,361.875,345.9375,300.9375
21,463.125,816.5625,622.5,746.25,781.875,643.125,814.6875,544.6875,856.875,441.5625,655.3125,507.1875,622.5,347.8125,627.1875,249.375,622.5,155.625,519.375,483.75,524.0625,324.375,528.75,221.25,533.4375,122.8125,435.0,502.5,430.3125,357.1875,435.0,272.8125,439.6875,179.0625,364.6875,535.3125,345.9375,418.125,336.5625,361.875,341.25,300.9375
22,463.125,840.0,617.8125,760.3125,777.1875,643.125,810.0,544.6875,852.1875,436.875,683.4375,511.875,631.875,347.8125,627.1875,249.375,622.5,155.625,528.75,488.4375,528.75,324.375,528.75,221.25,538.125,122.8125,444.375,502.5,439.6875,361.875,439.6875,272.8125,444.375,179.0625,369.375,540.0,350.625,427.5,341.25,366.5625,336.5625,300.9375
23,458.4375,821.25,617.8125,746.25,781.875,643.125,810.0,544.6875,847.5,436.875,669.375,507.1875,627.1875,343.125,622.5,244.6875,617.8125,155.625,528.75,479.0625,524.0625,319.6875,528.75,221.25,538.125,122.8125,439.6875,493.125,435.0,357.1875,435.0,277.5,439.6875,183.75,364.6875,530.625,345.9375,422.8125,336.5625,366.5625,336.5625,300.9375
