Frame,Wrist_x,Thumb_CMC_x,Thumb_MCP_x,Thumb_IP_x,Thumb_Tip_x,Index_MCP_x,Index_PIP_x,Index_DIP_x,Index_Tip_x,Middle_MCP_x,Middle_PIP_x,Middle_DIP_x,Middle_Tip_x,Ring_MCP_x,Ring_PIP_x,Ring_DIP_x,Ring_Tip_x,Pinky_MCP_x,Pinky_PIP_x,Pinky_DIP_x,Pinky_Tip_x,Wrist_y,Thumb_CMC_y,Thumb_MCP_y,Thumb_IP_y,Thumb_Tip_y,Index_MCP_y,Index_PIP_y,Index_DIP_y,Index_Tip_y,Middle_MCP_y,Middle_PIP_y,Middle_DIP_y,Middle_Tip_y,Ring_MCP_y,Ring_PIP_y,Ring_DIP_y,Ring_Tip_y,Pinky_MCP_y,Pinky_PIP_y,Pinky_DIP_y,Pinky_Tip_y
0,242.82763671875,92.55291748046875,510.9029541015625,150.83016967773438,587.8289184570312,232.41830444335938,620.4641723632812,367.62152099609375,646.1061401367188,509.8179931640625,426.9837341308594,397.9256591796875,482.92987060546875,551.777587890625,520.227294921875,659.0077514648438,534.2138671875,819.8529052734375,329.07794189453125,456.2029113769531,364.0443115234375,610.0548095703125,403.6728210449219,684.6497192382812,426.9837341308594,819.8529052734375,242.82763671875,479.5138244628906,242.82763671875,589.0750122070312,242.82763671875,675.3253784179688,242.82763671875,819.8529052734375,242.82763671875,444.5474548339844,242.82763671875,577.4195556640625,242.82763671875,659.0077514648438,242.82763671875,645.0211791992188
1,237.24114990234375,89.02381896972656,512.7736206054688,154.96322631835938,588.1329345703125,237.38746643066406,621.1026611328125,371.6212463378906,647.0074462890625,508.2099914550781,439.7693176269531,406.9459228515625,486.8688659667969,562.37451171875,517.4835815429688,668.3485717773438,531.6134643554688,823.7771606445312,329.0853271484375,461.1104431152344,359.7000427246094,611.8290405273438,399.73468017578125,689.5433349609375,425.6394348144531,823.7771606445312,237.24114990234375,479.95025634765625,237.24114990234375,590.63427734375,237.24114990234375,677.7684326171875,237.24114990234375,823.7771606445312,237.24114990234375,442.2705993652344,237.24114990234375,576.50439453125,237.24114990234375,656.5736694335938,237.24114990234375,642.4437866210938
2,236.3890380859375,89.82003784179688,512.4561157226562,153.52783203125,590.3211669921875,236.11199951171875,623.3548583984375,368.2466735839844,646.9503173828125,507.4599609375,441.669677734375,398.9207763671875,486.5010986328125,554.6509399414062,517.1752319335938,663.1901245117188,536.0515747070312,825.9989013671875,328.4114074707031,453.19036865234375,359.08551025390625,601.8418579101562,399.19781494140625,684.426025390625,427.51239013671875,825.9989013671875,236.3890380859375,474.4263000488281,236.3890380859375,585.3250122070312,236.3890380859375,674.9878540039062,236.3890380859375,825.9989013671875,236.3890380859375,439.0330810546875,236.3890380859375,571.167724609375,236.3890380859375,656.1114501953125,236.3890380859375,634.8755493164062
3,231.63983154296875,93.32518768310547,508.861083984375,154.92990112304688,587.0516967773438,233.12051391601562,622.5928955078125,365.8076171875,646.2869873046875,505.6029357910156,437.7787170410156,396.6099853515625,482.79754638671875,552.9912109375,518.3387451171875,664.3535766601562,532.5552368164062,827.843017578125,231.63983154296875,458.2146911621094,354.8492736816406,605.1182861328125,399.86810302734375,685.6782836914062,425.931640625,827.843017578125,231.63983154296875,474.80059814453125,231.63983154296875,586.1629638671875,231.63983154296875,673.8312377929688,231.63983154296875,827.843017578125,231.63983154296875,441.6288146972656,231.63983154296875,564.8382568359375,231.63983154296875,650.1370849609375,231.63983154296875,621.7041625976562
4,222.6480712890625,89.69088745117188,502.1124572753906,149.40548706054688,588.1015014648438,228.22877502441406,623.9302368164062,361.989501953125,647.8161010742188,507.6931457519531,430.4549255371094,395.4296875,490.1695251464844,565.0191650390625,521.2211303710938,679.6712036132812,533.1640625,834.92919921875,320.58001708984375,452.7557067871094,363.5745544433594,617.5680541992188,401.7919006347656,703.5570678710938,430.4549255371094,834.92919921875,222.6480712890625,467.08721923828125,222.6480712890625,596.07080078125,222.6480712890625,691.6141357421875,222.6480712890625,834.92919921875,222.6480712890625,438.4241943359375,222.6480712890625,569.7963256835938,222.6480712890625,653.3967895507812,222.6480712890625,641.453857421875
5,209.163330078125,90.24471282958984,496.76531982421875,145.83164978027344,586.1878051757812,220.753173828125,622.4401245117188,351.2616271972656,656.275634765625,503.5215148925781,465.34661865234375,394.76446533203125,489.51483154296875,566.3589477539062,523.350341796875,684.7832641601562,535.4345092773438,839.4599609375,325.17083740234375,447.9345703125,354.1727294921875,609.8617553710938,395.25872802734375,701.7010498046875,426.67742919921875,839.4599609375,209.163330078125,467.2691650390625,209.163330078125,592.9439697265625,209.163330078125,689.6168823242188,354.1727294921875,839.4599609375,209.163330078125,433.4336242675781,209.163330078125,571.1925659179688,209.163330078125,665.4486694335938,209.163330078125,643.697265625
6,179.18145751953125,88.94709014892578,503.8253479003906,144.31271362304688,589.390380859375,224.8445281982422,624.623046875,353.1921081542969,662.372314453125,501.6726379394531,466.0760498046875,401.00787353515625,483.6923828125,567.104736328125,518.925048828125,685.3858642578125,534.0247802734375,866.5823974609375,340.2450866699219,448.8236389160156,365.4112854003906,602.33740234375,393.0940856933594,705.518798828125,438.39324951171875,866.5823974609375,282.36285400390625,453.85687255859375,297.4625549316406,592.2709350585938,330.1786193847656,692.9357299804688,357.8614196777344,866.5823974609375,179.18145751953125,401.00787353515625,179.18145751953125,562.0714721679688,179.18145751953125,675.3193359375,179.18145751953125,672.802734375
7,173.75421142578125,95.99783325195312,505.05322265625,144.048828125,591.0392456054688,227.50584411621094,626.4451904296875,356.4848327636719,666.9092407226562,503.1668395996094,467.11822509765625,404.53582763671875,487.3502197265625,568.9208374023438,522.7562255859375,687.7838745117188,532.8721923828125,869.871826171875,338.13922119140625,450.0578308105469,360.90020751953125,604.3268432617188,388.7192077636719,708.015869140625,434.2412109375,869.871826171875,277.4432067871094,460.173828125,292.6172180175781,594.2108154296875,325.49420166015625,695.370849609375,353.3132019042969,869.871826171875,173.75421142578125,412.1228332519531,173.75421142578125,561.3338623046875,173.75421142578125,672.60986328125,173.75421142578125,675.1388549804688
8,290.2241516113281,95.07859802246094,515.576416015625,130.80517578125,584.2813720703125,221.4957275390625,617.259765625,361.65386962890625,669.4755249023438,510.05657958984375,444.1232604980469,394.6322326660156,488.0944519042969,567.7687377929688,529.3174438476562,674.948486328125,545.806640625,798.617431640625,328.6989440917969,444.0998229980469,364.4255065917969,600.7471313476562,383.66290283203125,702.4304809570312,438.6268615722656,831.5958251953125,279.2313537597656,449.5962219238281,295.7205505371094,587.0061645507812,320.454345703125,691.4376831054688,350.68450927734375,806.8619995117188,216.02279663085938,411.1214294433594,232.51197814941406,554.0277709960938,254.49757385253906,625.4808959960938,1521.4171142578125,685.9412841796875
9,290.6220703125,94.35270690917969,512.6934204101562,132.73541259765625,583.9755859375,220.46730041503906,622.3582763671875,360.28997802734375,666.2241821289062,508.3375549316406,446.8945007324219,398.6726989746094,482.5355529785156,571.3948364257812,523.659912109375,678.3180541992188,553.8177490234375,796.2078247070312,329.0047607421875,442.53863525390625,364.6458435058594,598.81103515625,386.5788269042969,705.7343139648438,435.9280090332031,829.1072387695312,285.1388244628906,448.0218811035156,307.07177734375,590.586181640625,331.74639892578125,697.5094604492188,364.6458435058594,804.4326782226562,219.33990478515625,415.1224060058594,244.01449584960938,557.686767578125,271.43072509765625,642.677001953125,1529.8349609375,702.99267578125
