Frame,Wrist,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_Tip,Index_MCP,Index_PIP,Index_DIP,Index_Tip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_Tip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_Tip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_Tip
24.0,417.21383343856184,9.375,4.6875,4.6875,0.0,0.0,0.0,14.823176532039279,10.481568644530265,0.0,9.375,0.0,0.0,9.375,4.6875,0.0,18.75,10.481568644530265,10.481568644530265,14.0625,4.6875
25.0,14.823176532039279,23.90165396996618,4.6875,10.481568644530265,23.90165396996618,29.646353064078557,9.375,18.75,23.4375,34.12551510600243,14.0625,18.75,42.1875,37.5,28.512949360772904,42.44711783501914,9.375,23.4375,28.125,9.375,28.125
26.0,10.481568644530265,4.6875,16.90102160373745,4.6875,0.0,6.629126073623883,0.0,4.6875,0.0,0.0,0.0,0.0,4.6875,14.823176532039279,4.6875,10.481568644530265,14.0625,0.0,14.823176532039279,9.375,9.375
27.0,1767.1875,14.0625,1321.875,4.6875,4.6875,0.0,0.0,0.0,14.823176532039279,14.0625,0.0,9.375,14.823176532039279,9.375,0.0,4.6875,14.0625,0.0,0.0,9.375,4.6875
28.0,4.6875,0.0,0.0,234.375,4.6875,14.0625,0.0,4.6875,14.0625,9.375,14.0625,9.375,1312.5083705090226,18.75,4.6875,4.6875,248.4375,0.0,25.242960033442987,4.6875,1303.1334307281238
29.0,4.6875,0.0,10.481568644530265,225.0,4.6875,14.823176532039279,4.6875,4.6875,14.823176532039279,0.0,4.6875,0.0,1312.5083705090226,23.90165396996618,0.0,9.375,248.4375,4.6875,23.4375,4.6875,1303.125
30.0,1757.8687491000287,14.0625,13.258252147247767,23.90165396996618,9.375,14.0625,9.375,14.823176532039279,14.0625,4.6875,16.90102160373745,23.4375,14.823176532039279,14.823176532039279,9.375,10.481568644530265,28.512949360772904,4.6875,14.0625,0.0,14.0625
31.0,426.5882547170046,14.0625,1307.8125,0.0,0.0,9.375,4.6875,9.375,0.0,4.6875,0.0,0.0,4.6875,9.375,0.0,0.0,0.0,0.0,9.375,0.0,0.0
32.0,1321.875,0.0,1317.1958407209233,23.90165396996618,4.6875,28.125,9.375,19.327057620082783,16.90102160373745,0.0,14.823176532039279,0.0,14.0625,28.125,19.327057620082783,9.375,18.75,4.6875,14.0625,0.0,14.0625
33.0,14.0625,14.0625,14.0625,10.481568644530265,1307.8209005106548,14.0625,0.0,28.512949360772904,1350.0325516908842,14.823176532039279,1312.5,32.8125,1331.2830101541144,9.375,1354.6875,9.375,23.4375,4.6875,1307.8209005106548,9.375,1321.8833111440852
34.0,0.0,9.375,0.0,19.327057620082783,1298.4713443242597,9.375,19.327057620082783,6.629126073623883,0.0,0.0,1289.0625,35.69893643373707,1317.2208625668097,16.90102160373745,1321.9082442628157,0.0,13.258252147247767,0.0,1293.758491819957,0.0,1307.8209005106548
35.0,0.0,9.375,10.481568644530265,18.75,4.6875,9.375,9.375,14.0625,1364.094716114409,14.0625,10.481568644530265,35.69893643373707,4.6875,14.0625,14.823176532039279,9.375,23.90165396996618,9.375,9.375,9.375,14.0625
36.0,4.6875,9.375,0.0,18.75,10.481568644530265,6.629126073623883,0.0,14.0625,1350.0,14.0625,1307.8209005106548,33.14563036811941,1321.8833111440852,1326.595626794861,1335.9457236588992,0.0,1350.0081379963049,0.0,1303.125,18.75,1317.1875
37.0,6.629126073623883,0.0,0.0,0.0,1307.8209005106548,1321.875,0.0,1293.75,0.0,0.0,4.6875,1350.0325516908842,4.6875,9.375,0.0,1321.875,4.6875,1321.8833111440852,0.0,9.375,9.375
38.0,0.0,0.0,4.6875,0.0,1298.4375,0.0,9.375,1298.4375,9.375,0.0,4.6875,1364.0625,0.0,0.0,0.0,1321.875,0.0,1321.875,4.6875,0.0,9.375
39.0,9.375,10.481568644530265,1321.8833111440852,14.0625,4.6875,1307.8209005106548,9.375,6.629126073623883,14.0625,14.823176532039279,1307.846101718872,16.90102160373745,1321.8833111440852,1317.2625645870683,1335.9375,9.375,1335.9457236588992,4.6875,1293.75,9.375,1312.5
40.0,1317.1875,4.6875,13.258252147247767,0.0,9.375,0.0,0.0,4.6875,1335.9375,14.823176532039279,0.0,9.375,14.0625,0.0,0.0,4.6875,4.6875,9.375,4.6875,0.0,4.6875
41.0,16.90102160373745,0.0,9.375,14.823176532039279,14.0625,4.6875,10.481568644530265,4.6875,4.6875,14.823176532039279,4.6875,19.88737822087165,14.0625,10.481568644530265,0.0,14.0625,23.90165396996618,9.375,14.823176532039279,14.0625,4.6875
42.0,1340.6331949050232,9.375,1321.875,4.6875,14.823176532039279,18.75,19.327057620082783,6.629126073623883,0.0,0.0,0.0,10.481568644530265,23.90165396996618,28.125,9.375,0.0,9.375,0.0,23.4375,23.4375,4.6875
43.0,1785.9375,9.375,1317.1875,19.327057620082783,9.375,18.75,10.481568644530265,19.327057620082783,0.0,19.327057620082783,9.375,33.14563036811941,23.90165396996618,23.90165396996618,25.242960033442987,9.375,14.823176532039279,9.375,23.90165396996618,14.823176532039279,14.823176532039279
44.0,431.2754747910551,23.4375,14.0625,19.327057620082783,23.90165396996618,14.0625,18.75,28.125,14.0625,29.646353064078557,23.90165396996618,42.1875,32.8125,23.4375,42.44711783501914,25.242960033442987,32.8125,23.90165396996618,23.90165396996618,23.90165396996618,28.512949360772904
45.0,431.2754747910551,9.375,4.6875,0.0,0.0,14.0625,4.6875,4.6875,4.6875,6.629126073623883,0.0,0.0,9.375,0.0,0.0,4.6875,9.375,10.481568644530265,0.0,4.6875,4.6875
46.0,431.3518901372753,47.10879197400417,14.823176532039279,28.512949360772904,19.327057620082783,14.0625,19.327057620082783,23.90165396996618,16.90102160373745,19.88737822087165,28.512949360772904,61.11752254877483,28.512949360772904,33.14563036811941,61.11752254877483,31.444705933590793,84.50510801868725,18.75,16.90102160373745,28.512949360772904,42.44711783501914
