Frame,Wrist_x,Thumb_CMC_x,Thumb_MCP_x,Thumb_IP_x,Thumb_Tip_x,Index_MCP_x,Index_PIP_x,Index_DIP_x,Index_Tip_x,Middle_MCP_x,Middle_PIP_x,Middle_DIP_x,Middle_Tip_x,Ring_MCP_x,Ring_PIP_x,Ring_DIP_x,Ring_Tip_x,Pinky_MCP_x,Pinky_PIP_x,Pinky_DIP_x,Pinky_Tip_x,Wrist_y,Thumb_CMC_y,Thumb_MCP_y,Thumb_IP_y,Thumb_Tip_y,Index_MCP_y,Index_PIP_y,Index_DIP_y,Index_Tip_y,Middle_MCP_y,Middle_PIP_y,Middle_DIP_y,Middle_Tip_y,Ring_MCP_y,Ring_PIP_y,Ring_DIP_y,Ring_Tip_y,Pinky_MCP_y,Pinky_PIP_y,Pinky_DIP_y,Pinky_Tip_y
14,1231.875,886.875,1081.875,821.25,969.375,694.6875,931.875,572.8125,913.125,469.6875,1100.625,540.0,472.5,413.4375,491.25,329.0625,519.375,235.3125,444.375,530.625,439.6875,390.0,463.125,291.5625,472.5,193.125,439.6875,540.0,430.3125,422.8125,449.0625,333.75,481.875,244.6875,1325.625,572.8125,425.625,479.0625,439.6875,427.5,449.0625,361.875
15,1231.875,891.5625,1081.875,825.9375,969.375,699.375,927.1875,582.1875,913.125,479.0625,505.3125,544.6875,495.9375,408.75,519.375,324.375,542.8125,240.0,458.4375,535.3125,463.125,390.0,486.5625,291.5625,1180.3125,193.125,439.6875,544.6875,439.6875,422.8125,463.125,343.125,495.9375,244.6875,1325.625,577.5,416.25,483.75,425.625,427.5,439.6875,366.5625
16,1231.875,886.875,1067.8125,821.25,960.0,699.375,917.8125,586.875,908.4375,483.75,528.75,549.375,519.375,404.0625,547.5,319.6875,570.9375,235.3125,472.5,540.0,481.875,390.0,510.0,291.5625,1180.3125,197.8125,444.375,558.75,439.6875,427.5,472.5,343.125,510.0,244.6875,1320.9375,586.875,411.5625,483.75,411.5625,427.5,425.625,375.9375
17,1231.875,886.875,1067.8125,821.25,960.0,699.375,917.8125,586.875,899.0625,483.75,1091.25,544.6875,519.375,404.0625,542.8125,319.6875,570.9375,235.3125,463.125,530.625,481.875,385.3125,1170.9375,291.5625,1170.9375,193.125,1255.3125,544.6875,449.0625,418.125,472.5,338.4375,510.0,244.6875,1320.9375,577.5,1320.9375,474.375,425.625,422.8125,439.6875,361.875
18,1231.875,882.1875,1081.875,811.875,955.3125,690.0,913.125,577.5,908.4375,479.0625,505.3125,540.0,505.3125,404.0625,542.8125,324.375,566.25,244.6875,458.4375,530.625,472.5,385.3125,495.9375,291.5625,510.0,197.8125,430.3125,540.0,439.6875,418.125,463.125,343.125,505.3125,244.6875,411.5625,572.8125,411.5625,474.375,416.25,422.8125,430.3125,357.1875
19,1227.1875,882.1875,1081.875,811.875,960.0,690.0,917.8125,582.1875,908.4375,483.75,491.25,540.0,500.625,404.0625,528.75,329.0625,552.1875,244.6875,458.4375,530.625,463.125,390.0,486.5625,296.25,495.9375,197.8125,430.3125,540.0,435.0,422.8125,449.0625,343.125,495.9375,244.6875,416.25,572.8125,416.25,474.375,416.25,422.8125,425.625,352.5
20,1227.1875,886.875,1081.875,821.25,960.0,699.375,917.8125,586.875,913.125,483.75,514.6875,554.0625,505.3125,413.4375,533.4375,329.0625,561.5625,249.375,463.125,540.0,463.125,394.6875,491.25,300.9375,505.3125,197.8125,439.6875,554.0625,435.0,427.5,458.4375,352.5,495.9375,244.6875,411.5625,586.875,411.5625,488.4375,411.5625,436.875,416.25,366.5625
21,1227.1875,882.1875,1067.8125,821.25,960.0,699.375,917.8125,586.875,913.125,483.75,500.625,544.6875,491.25,408.75,519.375,329.0625,542.8125,244.6875,458.4375,535.3125,458.4375,390.0,481.875,296.25,495.9375,197.8125,1250.625,544.6875,439.6875,427.5,458.4375,343.125,495.9375,244.6875,1311.5625,582.1875,1316.25,488.4375,425.625,427.5,425.625,361.875
22,1231.875,886.875,1067.8125,825.9375,964.6875,699.375,922.5,586.875,913.125,483.75,1086.5625,544.6875,481.875,408.75,505.3125,329.0625,533.4375,244.6875,458.4375,530.625,449.0625,390.0,1175.625,296.25,1170.9375,197.8125,1250.625,544.6875,439.6875,422.8125,449.0625,333.75,491.25,235.3125,1311.5625,577.5,1316.25,479.0625,1311.5625,422.8125,1302.1875,352.5
23,1227.1875,882.1875,1081.875,821.25,964.6875,690.0,927.1875,582.1875,917.8125,479.0625,1081.875,540.0,463.125,413.4375,481.875,329.0625,514.6875,244.6875,439.6875,530.625,435.0,390.0,1170.9375,291.5625,1166.25,197.8125,1250.625,540.0,430.3125,422.8125,435.0,329.0625,472.5,230.625,1311.5625,572.8125,1316.25,479.0625,1311.5625,418.125,1297.5,343.125
