Frame,Wrist,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_Tip,Index_MCP,Index_PIP,Index_DIP,Index_Tip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_Tip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_Tip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_Tip
1.0,2.0751953125,2.0751953125,2.934769355510573,0.0,311.279296875,2.934769355510573,2.0751953125,2.0751953125,2.934769355510573,2.0751953125,0.0,0.0,0.0,0.0,2.0751953125,2.0751953125,0.0,4.150390625,2.0751953125,2.0751953125,2.0751953125
2.0,2.0751953125,2.934769355510573,0.0,0.0,2.934769355510573,13.920833356016757,0.0,4.640277785338919,4.150390625,2.0751953125,6.562343777204889,4.150390625,0.0,6.2255859375,2.0751953125,4.640277785338919,0.0,4.150390625,8.556249467224148,2.0751953125,4.150390625
3.0,2.934769355510573,2.0751953125,2.934769355510573,4.150390625,2.0751953125,14.673846777552866,2.934769355510573,8.30078125,2.934769355510573,8.556249467224148,2.0751953125,2.0751953125,6.562343777204889,2.0751953125,4.640277785338919,309.21106522674415,0.0,4.640277785338919,2.0751953125,2.934769355510573,2.934769355510573
4.0,4.150390625,2.934769355510573,4.150390625,2.934769355510573,0.0,9.280555570677839,2.0751953125,2.0751953125,2.0751953125,2.934769355510573,4.150390625,4.640277785338919,2.0751953125,5.869538711021146,2.0751953125,311.28621411585095,2.0751953125,2.0751953125,6.562343777204889,2.934769355510573,2.934769355510573
5.0,0.0,2.0751953125,2.934769355510573,0.0,2.934769355510573,4.640277785338919,0.0,2.0751953125,2.0751953125,2.0751953125,2.0751953125,0.0,0.0,4.640277785338919,2.0751953125,4.150390625,0.0,2.934769355510573,4.150390625,2.0751953125,2.0751953125
6.0,4.640277785338919,4.150390625,4.640277785338919,2.0751953125,6.562343777204889,6.2255859375,4.150390625,6.2255859375,4.150390625,4.640277785338919,4.150390625,0.0,4.150390625,5.869538711021146,2.0751953125,8.556249467224148,0.0,6.2255859375,8.30078125,0.0,6.2255859375
7.0,0.0,2.0751953125,0.0,2.0751953125,2.934769355510573,8.80430806653172,2.934769355510573,4.640277785338919,0.0,4.640277785338919,4.150390625,4.640277785338919,4.150390625,4.640277785338919,2.934769355510573,2.934769355510573,0.0,2.934769355510573,8.30078125,0.0,4.150390625
8.0,4.150390625,2.0751953125,2.0751953125,2.0751953125,2.0751953125,2.0751953125,2.0751953125,2.0751953125,2.934769355510573,2.0751953125,2.0751953125,0.0,2.934769355510573,4.640277785338919,2.0751953125,4.150390625,0.0,0.0,2.0751953125,2.934769355510573,2.0751953125
9.0,5.869538711021146,2.0751953125,4.640277785338919,2.0751953125,6.562343777204889,4.150390625,6.562343777204889,2.0751953125,6.2255859375,0.0,6.562343777204889,0.0,6.2255859375,4.640277785338919,4.150390625,5.869538711021146,4.150390625,2.0751953125,6.562343777204889,2.0751953125,4.640277785338919
10.0,2.0751953125,2.0751953125,2.934769355510573,2.0751953125,4.640277785338919,6.562343777204889,4.150390625,4.640277785338919,6.2255859375,4.150390625,0.0,2.0751953125,0.0,2.934769355510573,4.640277785338919,5.869538711021146,2.0751953125,2.934769355510573,0.0,4.640277785338919,2.0751953125
