Date,Predicted_Amplitude
2025-01-01 00:00:00,0.0
2025-01-01 00:00:05,0.6304651368830169
2025-01-01 00:00:10,29.044380350906394
2025-01-01 00:00:15,19.06026075199741
2025-01-01 00:00:20,14.743993939287238
2025-01-01 00:00:25,12.109075434352302
2025-01-01 00:00:30,11.030689651062207
2025-01-01 00:00:35,9.472850163266465
2025-01-01 00:00:40,8.410347532154148
2025-01-01 00:00:45,11.500687353632955
2025-01-01 00:00:50,9.940571008103179
2025-01-01 00:00:55,9.33491854588687
2025-01-01 00:01:00,8.74883520792288
2025-01-01 00:01:05,9.025770198703118
2025-01-01 00:01:10,8.424603058826044
2025-01-01 00:01:15,7.948584793999113
2025-01-01 00:01:20,7.5438178446153445
2025-01-01 00:01:25,7.194145919717492
2025-01-01 00:01:30,9.092051029246768
2025-01-01 00:01:35,8.126156666869335
2025-01-01 00:01:40,9.434094235840742
2025-01-01 00:01:45,8.755080672192026
2025-01-01 00:01:50,9.394426638586722
2025-01-01 00:01:55,9.140759827669678
2025-01-01 00:02:00,9.451416704551177
2025-01-01 00:02:05,9.198983796287706
2025-01-01 00:02:10,8.892350654749764
2025-01-01 00:02:15,9.90743194618198
2025-01-01 00:02:20,9.368079841511854
2025-01-01 00:02:25,10.208477662473022
2025-01-01 00:02:30,10.482669212315677
2025-01-01 00:02:35,10.865328928107704
2025-01-01 00:02:40,11.059681285785079
2025-01-01 00:02:45,12.694802816267376
2025-01-01 00:02:50,12.567648622196675
2025-01-01 00:02:55,13.497708740711225
2025-01-01 00:03:00,12.66887631874763
2025-01-01 00:03:05,13.55417382677109
2025-01-01 00:03:10,13.663151695099897
2025-01-01 00:03:15,15.107781618212826
2025-01-01 00:03:20,14.204895311462163
2025-01-01 00:03:25,14.418946599985045
2025-01-01 00:03:30,14.558293031346857
2025-01-01 00:03:35,15.446963193247733
2025-01-01 00:03:40,14.671815752882885
2025-01-01 00:03:45,16.48553483248348
2025-01-01 00:03:50,16.4933298632971
2025-01-01 00:03:55,18.55497550720365
2025-01-01 00:04:00,17.20643099280202
2025-01-01 00:04:05,19.23855815053495
2025-01-01 00:04:10,20.09736638958952
2025-01-01 00:04:15,21.879581122913557
2025-01-01 00:04:20,21.554011717143204
2025-01-01 00:04:25,21.219322509616163
2025-01-01 00:04:30,21.311863115309226
2025-01-01 00:04:35,20.586575053880402
2025-01-01 00:04:40,20.46991784476907
2025-01-01 00:04:45,20.117613034830768
2025-01-01 00:04:50,20.329741753146003
2025-01-01 00:04:55,21.623747491379433
2025-01-01 00:05:00,21.44855876100678
2025-01-01 00:05:05,22.470152342103866
2025-01-01 00:05:10,21.71246218040536
2025-01-01 00:05:15,23.68542762236278
2025-01-01 00:05:20,23.040025840686667
2025-01-01 00:05:25,24.13047716420433
2025-01-01 00:05:30,24.120718699967853
2025-01-01 00:05:35,25.030794760701813
2025-01-01 00:05:40,25.118044945086766
2025-01-01 00:05:45,23.846359979391508
2025-01-01 00:05:50,23.363615420096064
2025-01-01 00:05:55,23.38594488742823
2025-01-01 00:06:00,24.703102456687375
2025-01-01 00:06:05,25.043044736725527
2025-01-01 00:06:10,25.00050290552244
2025-01-01 00:06:15,24.02010602821787
2025-01-01 00:06:20,23.795544006027765
2025-01-01 00:06:25,23.69757747499586
2025-01-01 00:06:30,24.021708877958048
2025-01-01 00:06:35,24.09404060198584
2025-01-01 00:06:40,22.723438318544368
2025-01-01 00:06:45,23.224564953254415
2025-01-01 00:06:50,22.824618816074832
2025-01-01 00:06:55,23.320993488853688
2025-01-01 00:07:00,23.48971227613477
2025-01-01 00:07:05,24.398897601894085
2025-01-01 00:07:10,25.463343562654064
2025-01-01 00:07:15,24.60788255888734
2025-01-01 00:07:20,24.4455324713574
2025-01-01 00:07:25,24.292011999944197
2025-01-01 00:07:30,24.792930756432085
2025-01-01 00:07:35,23.88817297184917
2025-01-01 00:07:40,23.734005571257164
2025-01-01 00:07:45,23.769153292927548
2025-01-01 00:07:50,23.27175665892281
2025-01-01 00:07:55,23.285430581679496
2025-01-01 00:08:00,23.26010681846643
2025-01-01 00:08:05,24.35823707657059
2025-01-01 00:08:10,23.854396921416342
2025-01-01 00:08:15,23.633285568733605
2025-01-01 00:08:20,23.390674416316223
2025-01-01 00:08:25,23.449349211816177
2025-01-01 00:08:30,22.394341277644084
2025-01-01 00:08:35,22.42624920611956
2025-01-01 00:08:40,21.774751001410277
2025-01-01 00:08:45,22.827304919816264
2025-01-01 00:08:50,22.029448483095717
2025-01-01 00:08:55,22.241375120334496
2025-01-01 00:09:00,22.364263167187048
2025-01-01 00:09:05,23.321778041707553
2025-01-01 00:09:10,23.883781142549818
2025-01-01 00:09:15,23.581699929260314
2025-01-01 00:09:20,23.294698483228245
2025-01-01 00:09:25,23.042382254289397
2025-01-01 00:09:30,22.332010384864653
2025-01-01 00:09:35,21.513376620920212
2025-01-01 00:09:40,20.75032787987719
2025-01-01 00:09:45,20.869059216468234
2025-01-01 00:09:50,22.323151928589834
2025-01-01 00:09:55,23.468543003958906
2025-01-01 00:10:00,23.808247889071332
2025-01-01 00:10:05,23.871361293056292
2025-01-01 00:10:10,24.224092469167843
2025-01-01 00:10:15,24.53541217188981
2025-01-01 00:10:20,23.7746576538309
2025-01-01 00:10:25,23.874187719235426
2025-01-01 00:10:30,24.493907612508966
2025-01-01 00:10:35,25.008834395260685
2025-01-01 00:10:40,24.758804842024524
2025-01-01 00:10:45,23.72539441367292
2025-01-01 00:10:50,23.852768173201184
2025-01-01 00:10:55,22.930767483739217
